# Doors,# Wins,Switched
3,668,False
3,1331,True
4,493,False
4,1493,True
5,418,False
5,1619,True
6,352,False
6,1679,True
7,292,False
7,1706,True
8,229,False
8,1729,True
9,213,False
9,1793,True
10,184,False
10,1810,True
11,188,False
11,1809,True
12,163,False
12,1829,True
13,181,False
13,1851,True
14,130,False
14,1852,True
15,146,False
15,1874,True
16,125,False
16,1872,True
17,105,False
17,1881,True
18,119,False
18,1888,True
19,114,False
19,1894,True
20,109,False
20,1895,True
21,87,False
21,1902,True
22,97,False
22,1908,True
23,84,False
23,1901,True
24,82,False
24,1922,True
25,93,False
25,1917,True
26,90,False
26,1934,True
27,73,False
27,1928,True
28,68,False
28,1940,True
29,59,False
29,1922,True
30,70,False
30,1942,True
31,53,False
31,1940,True
32,67,False
32,1941,True
33,71,False
33,1934,True
34,57,False
34,1955,True
35,48,False
35,1928,True
36,56,False
36,1936,True
37,60,False
37,1943,True
38,51,False
38,1949,True
39,49,False
39,1947,True
40,36,False
40,1951,True
41,48,False
41,1953,True
42,44,False
42,1951,True
43,40,False
43,1941,True
44,48,False
44,1946,True
45,43,False
45,1948,True
46,35,False
46,1960,True
47,51,False
47,1951,True
48,38,False
48,1953,True
49,25,False
49,1952,True
50,38,False
50,1963,True
51,37,False
51,1962,True
52,38,False
52,1966,True
53,30,False
53,1964,True
54,32,False
54,1969,True
55,43,False
55,1967,True
56,40,False
56,1958,True
57,45,False
57,1977,True
58,35,False
58,1956,True
59,39,False
59,1965,True
60,36,False
60,1967,True
61,35,False
61,1970,True
62,39,False
62,1964,True
63,32,False
63,1970,True
64,28,False
64,1966,True
65,30,False
65,1979,True
66,29,False
66,1971,True
67,31,False
67,1977,True
68,30,False
68,1970,True
69,33,False
69,1982,True
70,29,False
70,1971,True
71,20,False
71,1970,True
72,35,False
72,1980,True
73,23,False
73,1973,True
74,26,False
74,1967,True
75,24,False
75,1971,True
76,24,False
76,1976,True
77,23,False
77,1974,True
78,30,False
78,1965,True
79,35,False
79,1971,True
80,24,False
80,1972,True
81,28,False
81,1972,True
82,32,False
82,1983,True
83,20,False
83,1976,True
84,21,False
84,1976,True
85,21,False
85,1981,True
86,20,False
86,1968,True
87,20,False
87,1978,True
88,24,False
88,1982,True
89,14,False
89,1973,True
90,15,False
90,1972,True
91,27,False
91,1974,True
92,19,False
92,1978,True
93,14,False
93,1985,True
94,21,False
94,1977,True
95,19,False
95,1975,True
96,25,False
96,1979,True
97,18,False
97,1983,True
98,22,False
98,1980,True
99,23,False
99,1981,True
100,23,False
100,1987,True
